location_project,common_name,total_duration
794-NE_ABMI Height Comparison 2022,Wolverine,67.7536231884058
794-NE_ABMI Height Comparison 2022,"Wolves, Coyotes and Allies",4.266666666666667
794-SW_ABMI Ecosystem Health 2022,Beaver,0
794-SW_ABMI Ecosystem Health 2022,Bird,NA
794-SW_ABMI Ecosystem Health 2022,Black Bear,36.60075722210634
794-SW_ABMI Ecosystem Health 2022,Canada Lynx,0
794-SW_ABMI Ecosystem Health 2022,Cougar,0
794-SW_ABMI Ecosystem Health 2022,Coyote,0
794-SW_ABMI Ecosystem Health 2022,Deer,2.5841252096143097
794-SW_ABMI Ecosystem Health 2022,"Ducks, Swans, Geese",0
794-SW_ABMI Ecosystem Health 2022,Ermine,0
794-SW_ABMI Ecosystem Health 2022,Falcons and allies,0
794-SW_ABMI Ecosystem Health 2022,Fisher,0
794-SW_ABMI Ecosystem Health 2022,Gray Jay,0
794-SW_ABMI Ecosystem Health 2022,Gray Wolf,0
794-SW_ABMI Ecosystem Health 2022,Groundhog,0
794-SW_ABMI Ecosystem Health 2022,"Grouse, Ptarmigan and allies",0
794-SW_ABMI Ecosystem Health 2022,Marten,0
794-SW_ABMI Ecosystem Health 2022,Moose,201.8401664208415
794-SW_ABMI Ecosystem Health 2022,Owls,0
794-SW_ABMI Ecosystem Health 2022,Red Squirrel,0
794-SW_ABMI Ecosystem Health 2022,Snowshoe Hare,0
794-SW_ABMI Ecosystem Health 2022,Spruce Grouse,0
794-SW_ABMI Ecosystem Health 2022,Striped Skunk,0
794-SW_ABMI Ecosystem Health 2022,White-tailed Deer,1961.0896523575448
794-SW_ABMI Ecosystem Health 2022,Wolverine,0
794-SW_ABMI Ecosystem Health 2022,"Wolves, Coyotes and Allies",0
794-SW_ABMI Height Comparison 2022,Beaver,0
794-SW_ABMI Height Comparison 2022,Bird,0
794-SW_ABMI Height Comparison 2022,Black Bear,127.96797711278107
794-SW_ABMI Height Comparison 2022,Canada Lynx,0
794-SW_ABMI Height Comparison 2022,Cougar,0
794-SW_ABMI Height Comparison 2022,Coyote,21.65716711580346
794-SW_ABMI Height Comparison 2022,Deer,0
794-SW_ABMI Height Comparison 2022,"Ducks, Swans, Geese",0
794-SW_ABMI Height Comparison 2022,Ermine,0
794-SW_ABMI Height Comparison 2022,Falcons and allies,0
794-SW_ABMI Height Comparison 2022,Fisher,0
794-SW_ABMI Height Comparison 2022,Gray Jay,0
794-SW_ABMI Height Comparison 2022,Gray Wolf,0
794-SW_ABMI Height Comparison 2022,Groundhog,20.214285714285715
794-SW_ABMI Height Comparison 2022,"Grouse, Ptarmigan and allies",0
794-SW_ABMI Height Comparison 2022,Marten,0
794-SW_ABMI Height Comparison 2022,Moose,259.56261227915627
794-SW_ABMI Height Comparison 2022,Owls,0
794-SW_ABMI Height Comparison 2022,Red Squirrel,0
794-SW_ABMI Height Comparison 2022,Snowshoe Hare,29.425531032193827
794-SW_ABMI Height Comparison 2022,Spruce Grouse,0
794-SW_ABMI Height Comparison 2022,Striped Skunk,0
794-SW_ABMI Height Comparison 2022,White-tailed Deer,4738.3533158462105
794-SW_ABMI Height Comparison 2022,Wolverine,0
794-SW_ABMI Height Comparison 2022,"Wolves, Coyotes and Allies",0
